,MEAN DEP SCORE,LA CODE,STD DEP SCORE,LAD,LAD CODE,WARD CODE,All categories: Age,Children,Adults,Pensioners,All categories: Residence type,Lives in a household,Lives in a communal establishment,Communal establishments with persons sleeping rough identified,All categories: Ethnic group (detailed),White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Polish,Asian/Asian British: Indian or British Indian,Asian/Asian British: Pakistani/British Pakistani,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Other ethnic group: Any other ethnic group,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim (Islam),Sikh,Other religion: Total,No religion: Total,Religion not stated,All usual residents ,Area ,Density
26,10.09069906140351,00BD,5.5152131563787545,E09000027,00BD,00BDFW,186990,40559.0,122770.0,23661.0,186990,184098,2892,1,186990.0,133582.0,4766.0,1773.0,5202.0,1163.0,1643.0,840.0,38021.0,186990.0,103319.0,1577.0,3051.0,1409.0,6128.0,1581.0,890.0,53195.0,15840.0,186990,5742,32.6
27,29.973791848484847,00BE,9.16976019518368,E09000028,00BE,00BEGC,288283,59038.0,208318.0,20927.0,288283,282560,5723,1,288283.0,114534.0,6222.0,2796.0,5819.0,1623.0,47413.0,17974.0,91902.0,288283.0,151462.0,3884.0,3668.0,1006.0,24551.0,653.0,1350.0,77098.0,24611.0,288283,2885,99.9
28,15.273559785123961,00BF,9.025593542961792,E09000029,00BF,00BFGC,190146,43085.0,121416.0,25645.0,190146,188695,1451,0,190146.0,134854.0,3219.0,1961.0,6454.0,2595.0,5471.0,2742.0,32850.0,190146.0,111086.0,1368.0,8038.0,486.0,7726.0,325.0,796.0,46817.0,13504.0,190146,4385,43.4
29,40.159867953846145,00BG,12.830184156738705,E09000030,00BG,00BGFW,254096,55096.0,184323.0,14677.0,254096,250343,3753,0,254096.0,79231.0,3863.0,2263.0,6787.0,2442.0,9495.0,5341.0,144674.0,254096.0,68808.0,2726.0,4200.0,1283.0,87696.0,821.0,825.0,48648.0,39089.0,254096,1977,128.5
30,35.34703613793104,00BH,10.1409524232033,E09000031,00BH,00BHFX,258249,61352.0,172883.0,24014.0,258249,256615,1634,0,258249.0,92999.0,3959.0,6896.0,9134.0,26347.0,18815.0,18841.0,81258.0,258249.0,124939.0,1987.0,5917.0,1259.0,56541.0,1209.0,993.0,46462.0,18942.0,258249,3881,66.5
31,21.50378147701149,00BJ,9.121811388427105,E09000032,00BJ,00BJFZ,306995,55627.0,226091.0,25277.0,306995,301648,5347,0,306995.0,163739.0,7664.0,5978.0,8642.0,9718.0,14818.0,12297.0,84139.0,306995.0,162590.0,2574.0,6496.0,1617.0,24746.0,832.0,1283.0,82740.0,24117.0,306995,3426,89.6
32,24.23760478333334,00BK,12.036312411643406,E09000033,00BK,00BKGA,219396,35958.0,160565.0,22873.0,219396,213208,6188,2,219396.0,77334.0,4960.0,1511.0,7213.0,2328.0,9141.0,4449.0,112460.0,219396.0,97877.0,3194.0,4178.0,7237.0,40073.0,496.0,1280.0,44542.0,20519.0,219396,2148,102.2
33,30.232818142857152,00BL,18.780108242810822,E08000001,00BL,00BLFX,276786,64559.0,172390.0,39837.0,276786,274855,1931,1,276786.0,219794.0,1694.0,1490.0,21665.0,12026.0,3451.0,608.0,16058.0,276786.0,173608.0,574.0,5988.0,174.0,32385.0,118.0,721.0,47567.0,15651.0,276786,13980,19.8
34,22.209053650000005,00BM,13.713631940299608,E08000002,00BM,00BMFS,185060,41952.0,115436.0,27672.0,185060,183025,2035,0,185060.0,157897.0,2357.0,1518.0,1387.0,9002.0,1116.0,593.0,11190.0,185060.0,116036.0,453.0,817.0,10302.0,11279.0,301.0,422.0,34381.0,11069.0,185060,9948,18.6
35,41.46296695366797,00BN,17.09745002767776,E08000003,00BN,00BNGM,503127,108152.0,350120.0,44855.0,503127,481030,22097,1,503127.0,298237.0,11843.0,5932.0,11417.0,42904.0,25718.0,9642.0,97434.0,503127.0,245247.0,3879.0,5452.0,2613.0,79496.0,2292.0,1889.0,127485.0,34774.0,503127,11564,43.5
