Region code,Region name,Local authority code,Local authority name,,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
,,,,,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim (Islam),Sikh,Other religion: Total,Other religion: Animism,Other religion: Baha'i,Other religion: Believe in God,Other religion: Brahma Kumari,Other religion: Chinese Religion,Other religion: Church of All Religion,Other religion: Confucianist,Other religion: Deist,Other religion: Druid,Other religion: Druze,Other religion: Eckankar,Other religion: Heathen,Other religion: Jain,Other religion: Mixed Religion,Other religion: Mysticism,Other religion: Native American Church,Other religion: New Age,Other religion: Occult,Other religion: Own Belief System,Other religion: Pagan,Other religion: Pantheism,Other religion: Rastafarian,Other religion: Ravidassia,Other religion: Reconstructionist,Other religion: Satanism,Other religion: Scientology,Other religion: Shamanism,Other religion: Shintoism,Other religion: Spiritual,Other religion: Spiritualist,Other religion: Taoist,Other religion: Theism,Other religion: Thelemite,Other religion: Traditional African Religion,Other religion: Unification Church,Other religion: Universalist,Other religion: Vodun,Other religion: Wicca,Other religion: Witchcraft,Other religion: Zoroastrian,Other religion: Other religions,No religion: Total,No religion: No religion,No religion: Agnostic,No religion: Atheist,No religion: Free Thinker,No religion: Heavy Metal,No religion: Humanist,No religion: Jedi Knight,No religion: Realist,Religion not stated
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000002,NORTH WEST,E07000123,Preston,,"140,202","85,518",385,"3,338",60,"15,769",930,428,0,14,7,1,0,0,0,1,10,0,0,4,11,31,1,1,1,2,1,144,4,17,0,1,5,3,2,0,19,73,12,0,0,0,0,0,0,25,1,4,33,"25,754","25,150",66,60,0,37,27,414,0,"8,020"
E12000002,NORTH WEST,E07000124,Ribble Valley,,"57,132","44,627",88,99,10,425,41,139,0,1,0,0,0,0,0,1,3,0,0,2,2,28,0,0,0,0,1,21,2,5,0,0,1,0,0,0,9,38,4,0,0,0,0,0,0,10,3,0,8,"8,299","8,079",20,26,0,1,21,152,0,"3,404"
E12000002,NORTH WEST,E07000125,Rossendale,,"67,982","43,392",163,96,67,"2,613",9,231,1,1,3,0,0,0,0,1,4,0,0,10,0,11,0,0,0,0,4,68,5,2,0,0,2,5,0,1,11,68,3,1,0,0,0,1,0,13,0,1,15,"17,095","16,742",41,37,0,16,24,235,0,"4,316"
E12000002,NORTH WEST,E07000126,South Ribble,,"109,057","82,547",206,556,48,592,75,284,0,3,0,0,0,0,0,1,9,0,0,1,0,39,0,0,1,0,5,100,0,7,0,0,4,2,1,0,9,59,6,3,1,2,0,0,0,17,4,0,10,"18,487","18,122",48,45,2,12,21,237,0,"6,262"
E12000002,NORTH WEST,E07000127,West Lancashire,,"110,685","84,337",141,229,62,276,87,216,0,0,4,0,0,0,0,4,9,0,1,2,0,23,0,0,2,0,1,59,3,4,0,0,2,2,0,1,13,42,7,0,0,0,0,5,0,14,2,0,16,"19,029","18,659",41,43,0,10,20,256,0,"6,308"
E12000002,NORTH WEST,E07000128,Wyre,,"107,749","80,346",220,161,69,305,25,342,0,3,1,0,0,0,0,1,5,0,0,5,1,39,2,1,2,0,1,82,3,3,0,0,2,2,1,2,12,125,4,1,0,0,0,0,1,25,3,0,15,"19,210","18,911",33,35,0,4,19,208,0,"7,071"
E12000002,NORTH WEST,E08000011,Knowsley ,,"145,893","117,991",165,266,58,435,37,167,1,3,1,0,0,0,0,0,5,0,1,3,0,8,0,0,0,0,1,60,0,2,2,1,2,2,0,0,13,27,1,2,1,1,0,2,0,16,0,0,12,"18,439","18,177",25,36,2,7,12,180,0,"8,335"
E12000002,NORTH WEST,E08000012,Liverpool,,"466,415","331,217","2,017","2,437","2,157","15,209",531,"1,122",1,31,25,0,5,3,1,19,34,2,0,8,12,98,1,0,4,8,5,315,14,75,1,2,27,11,6,3,70,121,18,7,0,6,0,8,1,76,8,17,79,"82,701","80,656",238,276,4,50,77,"1,398",2,"29,024"
E12000002,NORTH WEST,E08000014,Sefton,,"273,790","210,184",504,525,486,"1,189",105,568,0,10,3,0,1,0,1,3,13,2,0,8,1,36,0,1,1,0,3,183,5,19,0,1,8,1,3,0,20,130,10,3,1,0,0,0,1,57,3,1,39,"43,196","42,296",116,90,0,16,54,623,1,"17,033"
E12000002,NORTH WEST,E08000013,St. Helens,,"175,308","138,172",317,416,48,605,46,403,0,8,1,0,0,0,0,5,6,0,0,8,4,20,2,0,0,1,15,108,3,6,0,0,8,6,2,4,16,106,9,2,0,0,0,3,1,33,3,1,22,"25,653","25,118",39,51,1,26,26,391,1,"9,648"
E12000002,NORTH WEST,E08000015,Wirral,,"319,783","225,147",905,742,265,"1,809",236,830,1,5,7,2,0,2,0,7,16,0,0,7,4,87,0,0,4,1,7,246,9,14,0,1,18,2,3,3,77,170,13,4,0,1,0,5,2,61,4,9,38,"68,209","66,897",141,143,2,24,89,909,4,"21,640"
E12000003,YORKSHIRE AND THE HUMBER,E06000011,East Riding of Yorkshire UA,,"334,179","227,343",702,607,337,"1,309",174,863,2,6,11,0,0,2,2,3,16,0,0,11,9,80,0,0,2,2,7,285,13,12,4,1,7,14,1,3,56,171,5,5,0,0,0,3,0,67,8,5,50,"78,296","77,051",133,140,3,24,79,864,2,"24,548"
E12000003,YORKSHIRE AND THE HUMBER,E06000010,"Kingston upon Hull, City of UA",,"256,406","140,753",771,439,172,"5,447",289,794,0,8,7,0,0,1,0,3,16,0,0,10,12,43,0,0,1,2,8,304,12,15,2,0,20,4,7,1,40,112,14,1,1,1,0,1,1,84,4,3,56,"89,336","88,009",144,154,6,41,46,935,1,"18,405"
E12000003,YORKSHIRE AND THE HUMBER,E06000012,North East Lincolnshire UA,,"159,616","96,836",347,386,64,"1,332",158,533,1,4,9,0,0,2,0,1,17,2,0,7,3,55,0,0,0,2,4,166,4,13,0,0,4,7,0,0,22,125,6,0,0,1,0,3,0,52,1,3,19,"48,476","47,683",75,47,0,18,28,624,1,"11,484"
E12000003,YORKSHIRE AND THE HUMBER,E06000013,North Lincolnshire UA,,"167,446","110,554",381,445,48,"3,024",538,417,1,10,5,0,0,1,0,0,15,1,0,3,4,32,0,0,3,3,7,145,1,7,1,2,5,2,0,4,13,74,4,0,0,0,0,3,0,27,16,2,26,"40,176","39,570",62,64,0,15,33,431,1,"11,863"
E12000003,YORKSHIRE AND THE HUMBER,E06000014,York UA,,"198,051","117,856","1,016",983,202,"2,072",133,747,0,18,9,1,1,0,0,4,9,0,4,10,9,79,0,0,1,4,4,241,12,26,2,1,13,3,7,4,37,102,27,8,0,2,0,3,0,43,9,5,49,"59,646","58,403",211,171,4,33,73,750,1,"15,396"
E12000003,YORKSHIRE AND THE HUMBER,E07000163,Craven,,"55,409","37,301",134,65,16,506,34,187,2,3,2,0,0,0,0,1,4,0,0,2,2,25,1,0,0,1,2,67,7,3,0,0,0,0,0,1,9,24,6,2,0,1,0,1,0,10,0,2,9,"12,935","12,689",35,25,0,1,28,157,0,"4,231"
E12000003,YORKSHIRE AND THE HUMBER,E07000164,Hambleton,,"89,140","64,692",135,93,45,234,5,223,0,3,1,0,0,0,0,0,11,0,2,8,1,35,0,0,3,1,1,80,5,5,0,0,2,2,2,0,10,20,1,2,0,1,0,1,0,8,2,0,16,"17,652","17,392",43,35,0,4,20,158,0,"6,061"
E12000003,YORKSHIRE AND THE HUMBER,E07000165,Harrogate,,"157,869","108,289",414,236,334,573,82,533,1,19,6,0,0,0,0,4,17,0,5,8,6,68,1,0,0,1,9,148,4,7,0,0,5,3,3,2,47,79,17,2,2,0,0,1,1,18,4,3,42,"36,227","35,547",97,69,0,19,65,430,0,"11,181"
E12000003,YORKSHIRE AND THE HUMBER,E07000166,Richmondshire,,"51,965","36,057",373,513,26,130,7,158,1,0,2,0,0,2,0,1,2,0,0,3,0,25,0,0,0,1,1,46,3,4,0,1,1,1,2,0,15,22,2,0,0,1,0,0,0,7,1,1,13,"11,120","10,918",29,21,0,12,16,123,1,"3,581"
E12000003,YORKSHIRE AND THE HUMBER,E07000167,Ryedale,,"51,751","37,172",125,20,15,57,5,180,2,1,3,0,3,0,0,0,4,0,0,2,0,28,0,0,0,0,0,70,4,0,0,0,1,0,4,1,8,16,5,0,0,0,0,1,0,13,1,1,12,"10,354","10,187",19,15,1,4,13,114,1,"3,823"
E12000003,YORKSHIRE AND THE HUMBER,E07000168,Scarborough,,"108,793","72,544",295,167,67,551,8,402,2,3,1,0,0,1,0,1,9,0,0,4,0,40,1,1,4,0,7,123,11,1,1,4,2,3,1,2,25,95,4,1,0,0,0,0,1,27,7,6,14,"26,665","26,175",54,47,0,6,34,349,0,"8,094"
E12000003,YORKSHIRE AND THE HUMBER,E07000169,Selby,,"83,449","59,182",133,87,60,95,51,206,1,5,0,0,0,0,0,2,4,0,0,1,6,16,0,0,0,0,3,60,5,1,0,0,3,2,0,1,7,37,4,0,2,1,0,1,0,25,0,2,17,"18,070","17,828",24,21,1,2,14,179,1,"5,565"
